comprehensive budget management,全面预算管理,ˌkɒmprɪˈhensɪv ˈbʌdʒɪt ˈmænɪdʒmənt
bulk purchases qualify for a discount,批量购买可获折扣,bʌlk ˈpɜːrtʃəsɪz ˈkwɒlɪfaɪ fɔːr ə ˈdɪskaʊnt
I've been good,我最近状态不错（PP开场）,aɪv biːn ɡʊd
I've been really busy,我最近很忙,aɪv biːn ˈrɪəli ˈbɪzi
it's been a productive few days,这几天挺充实,ɪts biːn ə prəˈdʌktɪv fjuː deɪz
he hasn't come back yet,他还没回来,hiː ˈhæznt kʌm bæk jet
she hasn't signed off yet,她还没有签字,ʃiː ˈhæznt saɪnd ɒf jet
we haven't received a response yet,我们还没有收到回复,wiː ˈhævnt rɪˈsiːvd ə rɪˈspɒns jet
the system hasn't gone live yet,系统还没上线,ðə ˈsɪstəm ˈhæznt ɡɒn laɪv jet
we haven't agreed on the price yet,价格还没谈拢,wiː ˈhævnt əˈɡriːd ɒn ðə praɪs jet
I have already read the report,我已经读了报告,aɪ həv ˈɔːlredi red ðə rɪˈpɔːrt
I have just come back,我刚刚回来,aɪ həv dʒʌst kʌm bæk
we have just finished the negotiation,我们刚刚完成了谈判,wiː həv dʒʌst ˈfɪnɪʃt
the report has already been submitted,报告已经提交了,ðə rɪˈpɔːrt həz ˈɔːlredi biːn səbˈmɪtɪd
the budget has already been approved,预算已经批了,ðə ˈbʌdʒɪt həz ˈɔːlredi biːn əˈpruːvd
we have saved 2.55 million in procurement costs,已节约采购成本255万,wiː həv seɪvd
we have obtained 300 million in debt financing,已获得3亿债权融资,wiː həv əbˈteɪnd
I have built the financial system from scratch,从零搭建了财务体系,aɪ həv bɪlt
our portfolio has generated over 8 million in returns,投资组合实现829万收益,aʊər ˈpɔːrtfoʊlioʊ həz ˈdʒenəreɪtɪd
we have expanded the credit facility to 500 million,授信额度已扩展至5亿,wiː həv ɪkˈspændɪd
we have liquidated 6.95 million of idle inventory,已盘活695万存货,wiː həv ˈlɪkwɪdeɪtɪd
we have reduced the audit cycle by 25%,审价周期已缩短25%,wiː həv rɪˈdjuːst
we have resolved 40 million in historical discrepancies,已消除4000万账实不符,wiː həv rɪˈzɒlvd
we have secured loan rates 3% below the industry average,贷款利率低于行业平均3%,wiː həv sɪˈkjʊərd
the government has reduced the price by 90%,政府已将价格降低90%,ðə ˈɡʌvənmənt həz rɪˈdjuːst
the company has met the listing requirements,公司已具备上市条件,ðə ˈkʌmpəni həz met
have you ever been to Shanghai,你去过上海吗,həv juː ˈevər biːn tuː ʃæŋˈhaɪ
I have never eaten sushi,我从来没吃过寿司,aɪ həv ˈnevər ˈiːtən ˈsuːʃi
I have never worked for a foreign company,我从未在外资公司工作过,aɪ həv ˈnevər wɜːrkt
we have never encountered this situation,我们从未遇到过这种情况,wiː həv ˈnevər ɪnˈkaʊntərd
I have worked in this industry for 11 years,在这个行业工作了11年,aɪ həv wɜːrkt
I have been CFO for three years,在CFO职位已三年,aɪ həv biːn siːefˈoʊ
I have been studying English with Maxim,一直在跟Maxim学英语（PPC）,aɪ həv biːn ˈstʌdiɪŋ
I have been reviewing documents all morning,一整个早上都在审文件（PPC）,aɪ həv biːn rɪˈvjuːɪŋ
we have been optimizing the ERP system,一直在优化ERP系统（PPC）,wiː həv biːn ˈɒptɪmaɪzɪŋ
the team has been preparing the IPO documents,团队一直在准备IPO材料（PPC）,ðə tiːm həz biːn prɪˈpeərɪŋ
I have been building this system,我一直在搭建这个系统（PPC）,aɪ həv biːn ˈbɪldɪŋ
we have been negotiating with suppliers,一直在跟供应商谈判（PPC）,wiː həv biːn nɪˈɡoʊʃieɪtɪŋ
I have been under a lot of pressure lately,最近工作压力很大（PPC）,aɪ həv biːn ˈʌndər
R&D spending has been increasing,研发投入一直在增加（PPC）,ɑːr ænd diː ˈspendɪŋ həz biːn ɪnˈkriːsɪŋ
the accounts have been reconciled,账目已经对清了（被动PP）,ðə əˈkaʊnts həv biːn ˈrekənsaɪld
the contract has been signed,合同已签署（被动PP）,ðə ˈkɒntrækt həz biːn saɪnd
I've been good NOT it was been good,❌ it was been → ✓ I've been（高频错误）,aɪv biːn ɡʊd
he hasn't come back NOT hasn't coming,❌ hasn't coming → ✓ hasn't come（高频错误）,hiː ˈhæznt kʌm bæk
I have read NOT have been read,❌ have been read → ✓ have read（高频错误）,aɪ həv red
I have successfully installed it,❌ successfully install → ✓ have installed（高频错误）,aɪ həv sʌkˈsesfəli ɪnˈstɔːld
on Monday,在星期一（星期用on）,ɒn ˈmʌndeɪ
on Friday,在星期五（星期用on）,ɒn ˈfraɪdeɪ
on March 16th,在3月16日（日期用on）,ɒn mɑːrtʃ
on Christmas,在圣诞节（节日用on）,ɒn ˈkrɪsməs
in March,在三月（月份用in）,ɪn mɑːrtʃ
in 2024,在2024年（年份用in）,ɪn tuː θaʊzənd
in Q3,在第三季度（季度用in）,ɪn kjuː θriː
in the morning,在早上（时间段用in）,ɪn ðə ˈmɔːrnɪŋ
in the afternoon,在下午（时间段用in）,ɪn ðə ˌæftərˈnuːn
in the evening,在晚上（时间段用in）,ɪn ðə ˈiːvnɪŋ
at 8 o'clock,在8点（时刻用at）,æt eɪt əˈklɒk
at noon,在中午,æt nuːn
at midnight,在午夜,æt ˈmɪdnaɪt
at home,在家,æt hoʊm
at the office,在公司/办公室,æt ðə ˈɒfɪs
at university,在大学（就读）,æt ˌjuːnɪˈvɜːrsɪti
in Shanghai,在上海（城市用in）,ɪn ʃæŋˈhaɪ
in China,在中国（国家用in）,ɪn ˈtʃaɪnə
in the meeting room,在会议室,ɪn ðə ˈmiːtɪŋ ruːm
on Friday NEVER at Friday,❌at Friday → ✓on Friday,ɒn ˈfraɪdeɪ
in the morning NEVER at the morning,❌at the morning → ✓in the morning,ɪn ðə ˈmɔːrnɪŋ
from Friday to Sunday,从周五到周日,frɒm ˈfraɪdeɪ tuː ˈsʌndeɪ
be responsible for,对...负责（必须有be动词）,biː rɪˈspɒnsɪbl fɔːr
adjust to the environment,适应新环境,əˈdʒʌst tuː ðə ɪnˈvaɪrənmənt
attend a meeting,参加会议（用attend不用join）,əˈtend ə ˈmiːtɪŋ
join a company,加入公司（用join）,dʒɔɪn ə ˈkʌmpəni
tell someone something,告诉某人（用tell不用say to）,tel ˈsʌmwʌn
receive a request,收到请求（用receive不用get demands）,rɪˈsiːv ə rɪˈkwest
affect the company,影响公司（商业用affect）,əˈfekt ðə ˈkʌmpəni
infect with virus,感染（医学用infect）,ɪnˈfekt wɪð ˈvaɪrəs
focus on,专注于,ˈfoʊkəs ɒn
depend on,依赖于,dɪˈpend ɒn
apply for a loan,申请贷款,əˈplaɪ fɔːr ə loʊn
submit to the board,提交给董事会,səbˈmɪt tuː ðə bɔːrd
agree on the terms,同意条款,əˈɡriː ɒn ðə tɜːrmz
result in cost savings,带来成本节约,rɪˈzʌlt ɪn kɒst ˈseɪvɪŋz
based on the data,基于数据,beɪst ɒn ðə ˈdeɪtə
over budget,超出预算,ˈoʊvər ˈbʌdʒɪt
below target,低于目标,bɪˈloʊ ˈtɑːrɡɪt
impact on,对...的影响,ˈɪmpækt ɒn
demand for,对...的需求,dɪˈmɑːnd fɔːr
increase of X%,增长X%,ˈɪŋkriːs ɒv
difference between A and B,A和B的区别,ˈdɪfrəns bɪˈtwiːn
reason for,原因是,ˈriːzən fɔːr
confident about,对...有信心,ˈkɒnfɪdənt əˈbaʊt
good at financial analysis,擅长财务分析,ɡʊd æt
interested in this opportunity,对这个机会感兴趣,ˈɪntrəstɪd ɪn
satisfied with the results,对结果满意,ˈsætɪsfaɪd wɪð
worried about the cash flow,担心现金流,ˈwʌrid əˈbaʊt
familiar with the regulations,熟悉法规,fəˈmɪliər wɪð
ready for the IPO review,准备好IPO审核,ˈredi fɔːr
responsible for the team,负责这个团队,rɪˈspɒnsɪbl fɔːr
I will be responsible NEVER I will responsible,❌I will responsible → ✓ I will be responsible,aɪ wɪl biː rɪˈspɒnsɪbl
contact HR,联系HR,ˈkɒntækt
reach out to someone,联系某人,riːtʃ aʊt tuː
negotiate with suppliers,与供应商谈判,nɪˈɡoʊʃieɪt wɪð
report to the board,向董事会汇报,rɪˈpɔːrt tuː ðə bɔːrd
invest in R&D,投资研发,ɪnˈvest ɪn
comply with regulations,遵守法规,kəmˈplaɪ wɪð
collaborate with,与...合作,kəˈlæbəreɪt wɪð
compare to last year,与去年相比,kəmˈpeər tuː
Class I medical device,一类医疗器械（低风险）,klɑːs wʌn ˈmedɪkl dɪˈvaɪs
Class II medical device,二类医疗器械（中风险）,klɑːs tuː ˈmedɪkl dɪˈvaɪs
Class III medical device,三类医疗器械（高风险）,klɑːs θriː ˈmedɪkl dɪˈvaɪs
high-value consumables,高值耗材,haɪ ˈvæljuː kənˈsjuːməblz
implantable device,植入类器械,ɪmˈplæntəbl dɪˈvaɪs
disposable medical supplies,一次性耗材,dɪˈspoʊzəbl ˈmedɪkl səˈplaɪz
NMPA,国家药品监督管理局,ˈnæʃənl ˈmedɪkl ˈprɒdʌkts ədˌmɪnɪˈstreɪʃn
registration certificate,注册证,ˌredʒɪˈstreɪʃn səˈtɪfɪkɪt
product registration,产品注册,ˈprɒdʌkt ˌredʒɪˈstreɪʃn
clinical trial,临床试验,ˈklɪnɪkl ˈtraɪəl
clinical data,临床数据,ˈklɪnɪkl ˈdeɪtə
safety and efficacy,安全性和有效性,ˈseɪfti ænd ˈefɪkəsi
regulatory approval,监管批准,ˌreɡjʊˈleɪtəri əˈpruːvl
quality management system,质量管理体系,ˈkwɒlɪti ˈmænɪdʒmənt ˈsɪstəm
ISO certification,ISO认证,aɪesˈoʊ ˌsɜːrtɪfɪˈkeɪʃn
Good Manufacturing Practice,GMP规范,ɡʊd ˌmænjʊˈfæktʃərɪŋ ˈpræktɪs
product recall,召回,ˈprɒdʌkt rɪˈkɔːl
UDI,唯一器械标识,juːniːk dɪˈvaɪs aɪˌdentɪfɪˈkeɪʃn
adverse event report,不良事件报告,ˈædvɜːrs ɪˈvent rɪˈpɔːrt
post-market surveillance,上市后监测,poʊst ˈmɑːrkɪt səˈveɪləns
volume-based procurement,集中带量采购,ˈvɒljuːm beɪst prəˈkjʊərmənt
win a VBP tender,集采中标,wɪn ə viːbiːpiː ˈtendər
tender,招标,ˈtendər
win the bid,中标,wɪn ðə bɪd
price negotiation,价格谈判,praɪs nɪˌɡoʊʃiˈeɪʃn
supplier management,供应商管理,səˈplaɪər ˈmænɪdʒmənt
non-conforming product,产品不合格,nɒn kənˈfɔːrmɪŋ ˈprɒdʌkt
market share,市场份额,ˈmɑːrkɪt ʃeər
market leader in China,国内市场份额第一,ˈmɑːrkɪt ˈliːdər
domestic substitution,国产替代,dəˈmestɪk ˌsʌbstɪˈtuːʃn
distributor,经销商,dɪˈstrɪbjuːtər
KOL (Key Opinion Leader),关键意见领袖,kiː əˈpɪnjən ˈliːdər
spinal implant,脊柱内固定,ˈspaɪnl ˈɪmplænt
intervertebral disc,椎间盘,ˌɪntəˈvɜːrtɪbrəl dɪsk
degenerative disc disease,退行性椎间盘病,dɪˈdʒenərətɪv dɪsk dɪˈziːz
knee replacement,人工膝关节,niː rɪˈpleɪsmənt
hip replacement,人工髋关节,hɪp rɪˈpleɪsmənt
cartilage,软骨,ˈkɑːrtɪlɪdʒ
osteoarthritis,骨关节炎,ˌɒstioʊɑːrˈθraɪtɪs
fracture,骨折,ˈfræktʃər
intramedullary nail,髓内钉,ˌɪntrəˈmedjʊləri neɪl
screws and plates,骨螺钉和钢板,skruːz ænd pleɪts
titanium implant,钛合金植入物,taɪˈteɪniəm ˈɪmplænt
trauma fixation,创伤固定,ˈtrɔːmə fɪkˈseɪʃn
bone repair material,骨修复材料,boʊn rɪˈpeər məˈtɪəriəl
sports medicine,运动医学,spɔːrts ˈmedɪsɪn
coronary artery,冠状动脉,ˈkɔːrəneri ˈɑːrtəri
coronary stent,冠脉支架,ˈkɔːrəneri stent
drug-eluting stent,药物洗脱支架,drʌɡ ɪˈluːtɪŋ stent
bioabsorbable stent,可降解支架,ˌbaɪoʊəbˈzɔːrbəbl stent
balloon catheter,球囊导管,bəˈluːn ˈkæθɪtər
PCI,经皮冠状动脉介入治疗,ˌpɜːrkjʊˈteɪniəs ˈkɔːrəneri ˌɪntərˈvenʃn
restenosis,再狭窄,ˌriːstəˈnoʊsɪs
heart valve,心脏瓣膜,hɑːrt vælv
structural heart disease,结构性心脏病,ˈstrʌktʃərəl hɑːrt dɪˈziːz
hemodialysis,血液透析,ˌhiːmoʊdaɪˈæləsɪs
dialyzer,透析器,ˈdaɪəlaɪzər
kidney failure,肾衰竭,ˈkɪdni ˈfeɪljər
peritoneal dialysis,腹膜透析,ˌperɪtəˈniːəl daɪˈæləsɪs
blood purification,血液净化,blʌd ˌpjʊərɪfɪˈkeɪʃn
CRRT,连续性肾脏替代治疗,kənˈtɪnjuəs ˈriːnl rɪˈpleɪsmənt ˈθerəpi
infusion set,输液器,ɪnˈfjuːʒən set
syringe,注射器,sɪˈrɪndʒ
IV catheter,留置针,aɪˈviː ˈkæθɪtər
intravenous infusion,静脉输液,ˌɪntrəˈviːnəs ɪnˈfjuːʒən
wound care,伤口护理,wuːnd keər
surgery,手术,ˈsɜːrdʒəri
minimally invasive surgery,微创手术,ˈmɪnɪməli ɪnˈveɪsɪv ˈsɜːrdʒəri
anesthesia,麻醉,ˌænɪsˈθiːziə
rehabilitation,康复,ˌriːhəˌbɪlɪˈteɪʃn
complications,并发症,ˌkɒmplɪˈkeɪʃnz
biocompatibility,生物相容性,ˌbaɪoʊkəmˌpætəˈbɪlɪti
this product is used for,这个产品用于,ðɪs ˈprɒdʌkt ɪz juːzd fɔːr
its main advantage is,它的主要优势是,ɪts meɪn ədˈvɑːntɪdʒ ɪz
X% of hospitals in China have used this,在中国X%的医院使用过,ɒv ˈhɒspɪtlz ɪn ˈtʃaɪnə
we are the market leader,我们是市场领导者,wiː ɑːr ðə ˈmɑːrkɪt ˈliːdər
this product has completed clinical trials,这个产品已通过临床试验,ðɪs ˈprɒdʌkt həz kəmˈpliːtɪd
surgical robot,手术机器人,ˈsɜːrdʒɪkl ˈroʊbɒt
pulse oximeter,脉搏血氧仪,pʌls ɒkˈsɪmɪtər
defibrillator,除颤器,dɪˈfɪbrɪleɪtər
nebulizer,雾化器,ˈnebjʊlaɪzər
IV drip stand,静脉输液架,aɪˈviː drɪp stænd
ultrasound machine,超声波机,ˈʌltrəsaʊnd məˈʃiːn
ECG machine,心电图机,ˌiː siː ˈdʒiː məˈʃiːn
blood pressure monitor,血压计,blʌd ˈpreʃər ˈmɑːnɪtər
pulse,脉搏,pʌls
scalpel,手术刀,ˈskælpəl
surgical needle,手术针,ˈsɜːrdʒɪkl ˈniːdl
stitch,缝合,stɪtʃ
stretcher,担架,ˈstretʃər
crutches,拐杖,ˈkrʌtʃɪz
oxygen tank,氧气罐,ˈɑːksɪdʒən tæŋk
surgical mask,手术口罩,ˈsɜːrdʒɪkl mæsk
monitor,监护仪,ˈmɑːnɪtər
volume-based procurement VBP,集中带量采购,ˈvɒljuːm beɪst prəˈkjʊərmənt
VBP cut the price by 90%,集采降价90%,viːbiːpiː kʌt ðə praɪs
stent price dropped from 10000 to 700,冠脉支架从1万降到700元,stent praɪs drɒpt
exchange volume for lower prices,以量换价,ɪkˈstʃeɪndʒ ˈvɒljuːm
cut out the middlemen,减少中间商,kʌt aʊt ðə ˈmɪdlmɛn
direct procurement,直接采购,daɪˈrekt prəˈkjʊərmənt
offset price cuts with higher volume,以量补价,ˈɒfset praɪs kʌts
normalized VBP,集采常态化,ˈnɔːrməlaɪzd viːbiːpiː
